0.051171,-0.034606,0.13743,-0.04886,-0.17758,-0.023058,-0.16395,0.087787,0.2002,-0.14999
0.65656,-0.16377,-0.1995,-0.21803,0.010228,0.040193,-0.39003,0.10424,-0.19204,0.11653
-0.45548,-0.14119,1.0016,0.10216,0.52568,-2.9378,-0.80414,0.17087,-0.17063,0.041467
0.076176,-0.11,-0.026084,0.18694,-0.25126,0.084956,0.0002857,0.24033,0.0076246,-0.17289
0.01879,-0.14957,-0.011118,0.20224,0.14403,-0.031761,0.056152,0.19284,-0.13099,-0.4911
0.080716,-0.5714,-2.0931,-1.1704,-1.189,-2.0854,-1.7363,-0.69321,-0.26465,-0.54856
-0.26949,-0.28142,-1.3467,-0.32036,-0.0076202,-0.22981,-2.4179,-1.3308,-1.0011,-0.56285
-0.27246,0.19823,0.4549,0.53201,-0.011827,2.9966,-1.0671,-0.68053,-0.63184,-0.01867
-0.63673,0.0764,-1.5698,-0.7011,-0.67157,1.2868,-2.3655,-1.0517,-0.7748,-0.47474
-1.7797,-0.90832,-2.0074,-1.2218,-1.2557,-2.9598,-0.21668,-0.88473,-0.61107,-0.72556
